Description,Price,Link
Electronic components,45.09,N/a Mouser
LCD screen,53.93,https://www.aliexpress.us/item/3256806512370026.html?spm+AD0-a2g0o.productlist.main.4.1bc31b4b5tDKgn+ACY-algo+AF8-pvid+AD0-13bfb1cf+AC0-5558+AC0-46a5+AC0-8419+AC0-575b0f02e65b+ACY-algo+AF8-exp+AF8-id+AD0-13bfb1cf+AC0-5558+AC0-46a5+AC0-8419+AC0-575b0f02e65b+AC0-3+ACY-pdp+AF8-ext+AF8-f+AD0AJQ-7B+ACU-22order+ACU-22+ACU-3A+ACU-2233+ACU-22+ACU-2C+ACU-22eval+ACU-22+ACU-3A+ACU-221+ACU-22+ACU-7D+ACY-pdp+AF8-npi+AD0-4+ACU-40dis+ACU-21USD+ACU-2144.90+ACU-2139.40+ACU-21+ACU-21+ACU-2144.90+ACU-2139.40+ACU-21+ACU-4021030ea417540377393777504ec2d3+ACU-2112000038039232380+ACU-21sea+ACU-21US+ACU-210+ACU-21ABX+ACY-curPageLogUid+AD0-AXccxJY3e6BW+ACY-utparam+AC0-url+AD0-scene+ACU-3Asearch+ACU-7Cquery+AF8-from+ACU-3A
Battery terminals,1.76,https://www.aliexpress.us/item/3256802143018058.html?spm+AD0-a2g0o.productlist.main.2.1ca42f52f0XLYT+ACY-algo+AF8-pvid+AD0-4f75c088+AC0-b7a9+AC0-4bdc+AC0-9fec+AC0-f14cafd9035a+ACY-algo+AF8-exp+AF8-id+AD0-4f75c088+AC0-b7a9+AC0-4bdc+AC0-9fec+AC0-f14cafd9035a+AC0-1+ACY-pdp+AF8-ext+AF8-f+AD0AJQ-7B+ACU-22order+ACU-22+ACU-3A+ACU-22465+ACU-22+ACU-2C+ACU-22eval+ACU-22+ACU-3A+ACU-221+ACU-22+ACU-7D+ACY-pdp+AF8-npi+AD0-4+ACU-40dis+ACU-21USD+ACU-211.57+ACU-210.99+ACU-21+ACU-21+ACU-211.57+ACU-210.99+ACU-21+ACU-402103273e17540378404726307eab1e+ACU-2112000020111732403+ACU-21sea+ACU-21US+ACU-210+ACU-21ABX+ACY-curPageLogUid+AD0-vHGHSxM7Uol6+ACY-utparam+AC0-url+AD0-scene+ACU-3Asearch+ACU-7Cquery+AF8-from+ACU-3A
Power switch,1.23,https://www.aliexpress.us/item/3256803358168199.html?spm+AD0-a2g0o.productlist.main.1.c6876a5fWXfoCN+ACY-algo+AF8-pvid+AD0-758d861f+AC0-75d8+AC0-4e97+AC0-a91a+AC0-33fb538aec99+ACY-algo+AF8-exp+AF8-id+AD0-758d861f+AC0-75d8+AC0-4e97+AC0-a91a+AC0-33fb538aec99+AC0-0+ACY-pdp+AF8-ext+AF8-f+AD0AJQ-7B+ACU-22order+ACU-22+ACU-3A+ACU-221273+ACU-22+ACU-2C+ACU-22eval+ACU-22+ACU-3A+ACU-221+ACU-22+ACU-7D+ACY-pdp+AF8-npi+AD0-4+ACU-40dis+ACU-21USD+ACU-211.15+ACU-210.99+ACU-21+ACU-21+ACU-211.15+ACU-210.99+ACU-21+ACU-402103247417540380137576601e1668+ACU-2112000026233474552+ACU-21sea+ACU-21US+ACU-210+ACU-21ABX+ACY-curPageLogUid+AD0-iYGJaLStAVkN+ACY-utparam+AC0-url+AD0-scene+ACU-3Asearch+ACU-7Cquery+AF8-from+ACU-3A
Screws,1.3,https://www.aliexpress.us/item/3256806342262435.html?spm=a2g0o.productlist.main.2.6037vvgdvvgdZt&algo_pvid=6d20863a-4c9d-4d95-97a2-066ea59399f6&algo_exp_id=6d20863a-4c9d-4d95-97a2-066ea59399f6-1&pdp_ext_f=%7B%22order%22%3A%2253%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%211.30%210.99%21%21%211.30%210.99%21%402101c67a17545107211398963e3d1b%2112000037543280276%21sea%21US%210%21ABX%211%210%21&curPageLogUid=HbBrmoh2DwTp&utparam-url=scene%3Asearch%7Cquery_from%3A
Sticker,1.91,https://www.aliexpress.us/item/3256808553344198.html?spm=a2g0o.productlist.main.4.6d994394kjdo2j&aem_p4p_detail=202508061308086116055938397440001812878&algo_pvid=4c040353-5d2f-4985-9663-808cbaa24eaf&algo_exp_id=4c040353-5d2f-4985-9663-808cbaa24eaf-3&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%211.91%210.99%21%21%2113.65%217.07%21%40210312d517545108882981985e3db6%2112000046472221323%21sea%21US%210%21ABX%211%210%21&curPageLogUid=yzPoZ2Nhswoy&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508061308086116055938397440001812878_1
Cartridge port,3.83,https://www.aliexpress.us/item/3256806628792724.html?spm=a2g0o.productlist.main.1.50395a261sjLsu&algo_pvid=1be32dde-c505-4c10-94b6-d65766154bdd&algo_exp_id=1be32dde-c505-4c10-94b6-d65766154bdd-0&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%213.83%210.99%21%21%213.83%210.99%21%402103245417545116286391914ed9f4%2112000038393658608%21sea%21US%210%21ABX%211%210%21&curPageLogUid=MN4Xl2vvOewM&utparam-url=scene%3Asearch%7Cquery_from%3A
Header pins,3.6,https://www.aliexpress.us/item/3256805564144874.html?spm=a2g0o.productlist.main.12.5d7e43f6f6YW6M&algo_pvid=96d58a5b-749e-49b2-9158-a494634e28b3&algo_exp_id=96d58a5b-749e-49b2-9158-a494634e28b3-13&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%213.60%210.99%21%21%2125.76%217.07%21%402103244817545119088668958eb226%2112000034219097914%21sea%21US%210%21ABX%211%210%21&curPageLogUid=8kyljSDKAGiU&utparam-url=scene%3Asearch%7Cquery_from%3A
PCBs,11.3,n/a jlc
Stencils,20.72,n/a jlc
pcb shipping,11.4,n/a jlc
total cost:,156.07,
